Chapter,Type,Word,Meaning
20,표제어,brutal,a.잔인한
12,표제어,budget,"n.예산, 비용"
24,표제어,burden,"n.부담 v.짐을 지우다, 부담을 지우다"
24,연관어,burdensome,a.부담스러운 
26,표제어,bury,"v.묻다, 감추다, 뒤덮다"
2,표제어,bustling,"a.붐비는, 바쁜"
12,표제어,by-product,n.부산물
40,표제어,calculate,v.계산하다 
40,연관어,calculation,"n.계산, 산출"
4,표제어,camouflage,"n.위장, 은폐"
43,표제어,cancel,"v.취소하다, 중지하다"
43,연관어,cancellation,n.취소
43,표제어,candidate,"n.후보, 후보자"
38,표제어,capacity,"n.용량, 능력, 수용력"
38,연관어,capability,"n.능력, 역량, 가능성"
38,연관어,capable,"a.~할 수 있는, 유능한"
38,연관어,be capable of,v.~할 수 있다
37,표제어,capital,"n.자본, 수도 "
37,연관어,capitalism,n.자본주의
44,표제어,captive,"a.사로잡힌, 포획된 "
44,연관어,captivate,v.마음을 사로잡다
44,연관어,captivity,"n.감금, 억류"
10,표제어,carbon,n.탄소
10,연관어,carbohydrate,n.탄수화물
23,표제어,career,"n.직업, 경력"
10,표제어,careful,"a.면밀한, 조심하는, 주의 깊은"
10,연관어,carefully,"ad.면밀히, 신중하게"
10,연관어,careless,a.부주의한
10,연관어,be careful of,v.주의하다
,연관어,carry out,v.수행하다
12,표제어,cast,"n.던지기, 배역 v.(그림자를) 드리우다, 던지다, 배역을 맡기다"
36,표제어,casual,"a.무심한, 격식을 차리지 않는, 우연한 "
20,표제어,catastrophic,"a.파멸적인, 재앙의"
20,연관어,catastrophe,n.큰 재앙
14,표제어,catch up with,"v.따라잡다, 따라가다"
14,표제어,categorize,"v.범주화하다, 분류하다"
19,표제어,cause,"n.원인 v.유발하다, 일으키다, 야기하다"
19,연관어,causal,a.인과관계의
19,연관어,causation,n.인과관계
13,표제어,cautious,"a.주의 깊은, 신중한"
13,연관어,caution,"n.조심, 주의"
13,연관어,cautiously,ad.조심스럽게
42,표제어,cease,"v.멈추다, 중단하다"
42,연관어,ceaseless,a.끊임없는
12,표제어,celebrate,"v.축하하다, 기념하다, 찬양하다"
12,연관어,celebration,n.축하
12,연관어,celebrity,"n.명성, 유명인"
43,표제어,ceremony,"n.의식, 예식"
43,연관어,ceremonial,"a.의식의, 의례의"
43,연관어,uncertain,a.불확실한
43,연관어,uncertainty,n.불확실성
5,표제어,challenge,"n.과제, 도전, 어려움"
5,연관어,challenging,"a.어려운, 힘든, 도전적인"
20,표제어,chaos,n.혼돈
20,연관어,chaotic,"a.혼돈의, 무질서한, 혼란스러운"
20,연관어,character,"n.성격, 특징, 등장인물"
28,표제어,characteristic,"a.특징적인, 특유의"
28,연관어,characterize,"v.특징짓다, ~의 특징을 나타내다"
1,표제어,charge,"n.요금, 책임, 혐의, 기소 v.청구하다, 고발하다, 책임지게 하다"
1,연관어,be in charge of,v.~에 관해 책임지다
41,표제어,charity,"n.자선, 자선 단체"
41,연관어,charitable,"a.관대한, 자선의"
10,표제어,cheat,"v.속이다, 부정행위를 하다"
10,연관어,cheating,"n.부정행위, 속임수"
16,표제어,chemical,"n.화학물질 a.화학의, 화학적인"
42,표제어,chore,"n.집안일, 허드렛일"
20,표제어,chronic,a.만성의
6,표제어,circulation,"n.순환, 유통"
6,연관어,circular,a.순환하는
6,연관어,circulate,"v.순환하다, 유포하다"
14,표제어,circumstance,"n.상황, 환경"
5,표제어,cite,"v.언급하다,인용하다"
40,표제어,citizen,"n.시민, 국민, 구성원"
40,연관어,citizenship,"n.시민권, 시민정신"
26,표제어,civilization,n.문명
26,연관어,civilized,"a.문명화된, 교양 있는"
18,표제어,claim,n.주장
36,표제어,clarify,"v.명확하게 하다, 분명히 말하다"
36,연관어,clarification,n.해명
36,연관어,clarity,"n.명확성, 명료함"
33,표제어,classify,v.분류하다
33,연관어,classification,n.분류
2,표제어,climate,"n.기후, 분위기, 정세"
2,연관어,climatic,a.기후의
31,표제어,clue,"n.단서, 실마리"
38,표제어,coastal,"a.해변의, 해안의"
8,표제어,code,"n.관례, 규범, 규율 v.암호화하다, 부호화하다"
31,표제어,cognitive,"a.인지의, 인식의"
31,연관어,cognition,"n.인지, 인식 "
8,표제어,coherent,"a.일관성이 있는, 통일성 있는"
8,연관어,coherently,"ad.일관성 있게, 조리 있게"
28,표제어,cohesion,"n.응집성, 결속, 유대"
28,연관어,cohesive,"a.결합하게 하는, 응집력이 있는"
28,연관어,cohesiveness,"n.응집력, 결속력"
39,표제어,coin,n.동전 v.(단어를) 만들다
19,표제어,coincide,"v.일치하다, 동시에 일어나다 "
19,연관어,coincidence,n.우연
42,표제어,collaborate,v.협업하다
42,연관어,collaboration,"n.협업, 협력, 합작"
42,연관어,collaborative,a.협력적인
13,표제어,collapse,"v.무너지다, 붕괴하다, 갑자기 쓰러지다 n.붕괴"
29,표제어,colleague,n.동료
13,표제어,collide,"v.충돌하다, 부딪히다"
37,표제어,colony,"n.식민지, 집단, 군집"
37,연관어,colonial,a.식민지의
37,연관어,colonize,"v.식민지로 만들다, 대량 서식하다 "
47,표제어,combat,n.전투 v.싸우다 
47,연관어,combative,"a.전투적인, 공격적인"
45,표제어,combine,v.결합하다
45,연관어,combination,"n.결합, 조합"
6,표제어,come across,"v.우연히 마주치다, 인상을 주다"
38,표제어,come up with,"v.떠올리다, 찾아내다, 제시하다, 구상하다"
3,표제어,command,"n.명령, 지휘 "
16,표제어,comment,"n.언급, 논평 v.논평하다"
16,연관어,commentary,n.논평
41,표제어,commerce,n.무역
19,표제어,commercial,a.상업의 n.상업 광고 
19,연관어,commercialize,v.상업화하다
19,연관어,commission,"n.위원회, 위임, 수수료 v.의뢰하다"
3,표제어,commit,"v. 전념하다, 약속하다, 헌신하다, 저지르다"
3,연관어,commitment,"n.헌신, 약속, 전념, 책임"
3,연관어,committed,"a.헌신적인, 전념하는"
3,연관어,be committed to,v.~에 헌신하다
14,표제어,commodity,"n.상품, 물품"
33,표제어,common,"a.흔한, 공동의, 일반적인"
33,연관어,uncommon,"a.드문, 흔치 않은"
33,연관어,in common,공통으로
33,연관어,commonality,n.공통성
33,연관어,commonly,"ad.일반적으로, 흔히"
33,연관어,communal,"a.공동의, 공유의"
29,표제어,communicate,"v.의사소통하다, 전달하다"
29,연관어,communication,n.의사소통
14,표제어,community,"n.공동체, 지역 사회"
44,표제어,compact,a.소형의
1,표제어,companion,"n.동반자, 반려자"
1,연관어,companionship,"n.동료애, 우정 "
47,표제어,compare,"v.비교하다, 비유하다"
47,연관어,comparable,"a.비슷한, 비교할 만한"
47,연관어,compared to,"a.~에 비해, ~에 비교되어"
47,연관어,comparison,"n.비교, 비유, 대조"
2,표제어,in comparison with,~와 비교하면
38,표제어,compassion,"n.연민, 동정심"
